Influencer insta name,category_1,category_2,Followers,Audience country(mostly),Authentic engagement,Engagement avg,Engagement ratio
eilirjani,Lifestyle,,9500000,Albania,423900,611600,0.6931
riyadmahrez26.7,Sports with a ball,,8500000,Algeria,333900,429900,0.7767
leomessi,Sports with a ball,Family,315400000,Argentina,4000000,5300000,0.7547
daddyyankee,Music,,44900000,Argentina,1300000,1800000,0.7222
paulolondra,Music,,12600000,Argentina,1200000,1900000,0.6316
antonelaroccuzzo,Modeling,Family,19000000,Argentina,970700,1600000,0.6067
bizarrap,Music,,11500000,Argentina,920800,1100000,0.8371
nicki.nicole,Music,,11500000,Argentina,876200,1300000,0.6740
evaluna,Family,Music,19800000,Argentina,812100,1100000,0.7383
paulodybala,Sports with a ball,,45800000,Argentina,662900,1100000,0.6026
tinistoessel,Music,,17400000,Argentina,631400,844700,0.7475
dukissj,Music,,9000000,Argentina,607200,1100000,0.5520
emiliamernes,Music,,4900000,Argentina,549500,1000000,0.5495
trueno,Music,,6700000,Argentina,479200,745700,0.6426
kunaguero,Sports with a ball,,22400000,Argentina,458400,794500,0.5770
litkillah,Music,,7200000,Argentina,438700,578400,0.7585
cazzu,Music,,9800000,Argentina,396200,508000,0.7799
wos.ds3,Music,,6300000,Argentina,371200,567400,0.6542
tiagopzk,Music,,4300000,Argentina,333400,761600,0.4378
mariabecerra,Music,,8600000,Argentina,332300,785000,0.4233
angeldimariajm,Sports with a ball,,16300000,Argentina,294600,434100,0.6786
camilo,Music,,26400000,Argentina,252300,398900,0.6325
sebastianyatra,Music,Art/Artists,29300000,Argentina,219300,305600,0.7176
ricky_martin,Music,,16700000,Argentina,141200,190400,0.7416
harrystyles,Music,Fashion,43300000,Brazil,2900000,3900000,0.7436
taylorswift,Music,,204700000,Brazil,2300000,3100000,0.7419
milliebobbybrown,Cinema & Actors/actresses,,48200000,Brazil,2100000,2700000,0.7778
ursulolita,Cinema & Actors/actresses,Modeling,24600000,Brazil,2000000,2900000,0.6897
jungkook_bighitentertainment,Management & Marketing,Music,9900000,Brazil,1800000,2000000,0.9000
jenniferaniston,Cinema & Actors/actresses,,40100000,Brazil,1600000,2300000,0.6957
neymarjr,Sports with a ball,,172000000,Brazil,1600000,2300000,0.6957
lilireinhart,Cinema & Actors/actresses,,29000000,Brazil,1500000,2200000,0.6818
virginia,Shows,Lifestyle,35800000,Brazil,1400000,2100000,0.6667
noahschnapp,Cinema & Actors/actresses,,20100000,Brazil,1300000,1700000,0.7647
sadiesink_,Modeling,Lifestyle,15300000,Brazil,1200000,1700000,0.7059
louist91,Music,,18200000,Brazil,1100000,1500000,0.7333
camimendes,Cinema & Actors/actresses,,26800000,Brazil,1100000,1600000,0.6875
sabrinacarpenter,Music,,27100000,Brazil,1100000,1300000,0.8462
miguel.g.herran,Cinema & Actors/actresses,,14200000,Brazil,998200,1500000,0.6655
jacobelordi,Cinema & Actors/actresses,,13200000,Brazil,997400,1600000,0.6234
whinderssonnunes,Humor & Fun & Happiness,,57900000,Brazil,988300,1500000,0.6589
littlebodybigheart,Music,,11100000,Brazil,913100,1200000,0.7609
vinijr,Sports with a ball,,15800000,Brazil,909400,1500000,0.6063
lewishamilton,Racing Sports,,27500000,Brazil,819900,1200000,0.6833
shawnmendes,Music,,67400000,Brazil,809300,1200000,0.6744
henrycavill,Cinema & Actors/actresses,,19700000,Brazil,795100,966500,0.8227
larasilva,Shows,Adult content,16800000,Brazil,789000,1200000,0.6575
conangray,Music,,5700000,Brazil,785400,1200000,0.6545
nina,Cinema & Actors/actresses,,25500000,Brazil,778500,1100000,0.7077
bambam1a,Music,,16000000,Brazil,684300,863000,0.7929
iammichelemorroneofficial,Lifestyle,Cinema & Actors/actresses,12900000,Brazil,654100,938900,0.6967
