Influencer insta name,category_1,category_2,Followers,Audience country(mostly),Authentic engagement,Engagement avg,Engagement ratio
lukamodric10,Sports with a ball,,21600000,Spain,419800,616300,0.6812
xavi,Sports with a ball,,8100000,Spain,419400,629100,0.6667
marcelotwelve,Sports with a ball,,53000000,Spain,413500,622200,0.6646
realmadrid,Sports with a ball,,113000000,Spain,407200,563100,0.7231
garethbale11,Sports with a ball,,46300000,Spain,402200,633900,0.6345
433,Sports with a ball,,48500000,Spain,383100,637000,0.6014
rauwalejandro,Music,,13700000,Spain,382400,553000,0.6915
willyrex,Shows,,8600000,Spain,324100,385100,0.8416
davidalaba,Sports with a ball,,8500000,Spain,301400,426700,0.7064
mterstegen1,Sports with a ball,,13300000,Spain,280000,422000,0.6635
mariapedraza_,Cinema & Actors/actresses,,12000000,Spain,279600,369000,0.7577
miguel_bernardeau,Cinema & Actors/actresses,,7000000,Spain,260800,384500,0.6783
rafaelnadal,Sports with a ball,,14000000,Spain,228700,286300,0.7988
myketowers,Music,,9400000,Spain,207900,376100,0.5528
